Day,OVT_house,OVT_park,OVT_street,ADT_house,ADT_park,ADT_street,Temperature,Pluviosity
0,33.89399466694215,5.373320912053807,216.4482187013697,3.8368897412802947,0.0,10.094512670693101,23.6785714286,45.125
30,79.06408316154658,33.388396111323054,0.0,3.991092333785562,23.489529070922504,0.0,24.984821428575003,48.77499999999999
60,85.57667320227472,122.6597419760375,0.0,9.481825115925803,35.165640240234104,0.0,26.288095238075,21.75
90,95.47032359525518,0.0,9.864686903084902,13.220568235078048,4.45772092583098,0.0,26.80238095235,55.875
120,0.0,232.55468199730345,390.68411084455596,4.204867299060698,32.31584218567273,0.0,26.23875,53.599999999999994
150,82.8823496271582,135.8705695570648,0.0,11.583460184436317,28.303167959931738,0.0,24.49285714285,42.675
180,91.72180603542202,82.58128675725837,0.0,15.124378673579013,26.594875007391,0.0,23.830833333324996,2.450000000000003
210,52.05804249536227,31.32574622499938,0.0,11.595217398908837,9.070220566764103,0.0,21.5220238095,8.65
240,58.28806135167002,135.040495276276,0.0,6.803734434411736,5.721889727166753,0.0,21.30785714285,0.0
270,35.607047133641565,0.0,25.10826846010068,3.539180280368427,13.714889576389075,0.0,21.05535714285,0.0
300,36.60352193067614,0.0,25.878603475390694,0.969244152252168,0.0,16.088529563429606,22.14702380955,1.05
330,38.8076018960611,1.2919350763014927,0.0,2.80538674691349,0.0,3.7918421533598816,21.94226190475,37.525
