Day,OVT_house,OVT_park,OVT_street,ADT_house,ADT_park,ADT_street,Temperature,Pluviosity
0,46.5680493482851,73.71252315290808,160.73082430532168,29.43687493776481,0.0,8.357401665856283,20.887499999975,2.9
30,45.06109820528131,78.84929755471664,187.16569318209443,26.920382948796025,0.0,0.0,22.3482142857,4.175000000000001
60,37.32114546519755,50.61038778255632,93.2123248965561,19.248862293420977,0.0,0.0,22.49821428575,5.475
90,64.1941292524821,53.36248942629999,18.638994885542235,18.315804987878405,0.0,0.0,23.076785714274997,9.075
120,29.31043675434795,93.23596514415418,298.1649960896256,27.796728459556984,0.0,0.0,23.414285714275003,2.675
150,87.17070329400538,83.34164201126478,0.0,21.24275973259974,74.43463927053067,0.0,24.751785714275,20.424999999999997
180,98.641399803073,104.81329627103028,0.0,23.45292896234485,68.57849016806846,0.0,26.50535714285,71.675
210,72.20231898528728,60.76577629012346,0.0,7.800556859054344,117.85051210717525,0.0,27.998214285725,16.775
240,0.0,0.0,396.32465113509863,10.855035614323354,60.83816108617393,0.0,28.14107142855,35.025
270,0.0,90.31109106404257,442.5363147148275,10.699252205533758,82.30473758843081,0.0,26.90357142855,19.275
300,0.0,82.78462979163362,373.1225183488131,20.88246869957775,72.79209748954467,0.0,24.1267857143,24.700000000000003
330,44.74725403598036,198.9995703518242,0.0,15.02555082543349,0.0,0.0,23.135714285725,16.525
