Day,OVT_house,OVT_park,OVT_street,ADT_house,ADT_park,ADT_street,Temperature,Pluviosity
0,0.0,0.0,226.23721988562787,0.43666491201084656,0.0,0.0,20.887499999975,2.9
30,9.411535333611084,0.0,139.36920335276133,0.33399795833893736,0.18204457903521862,0.0,22.3482142857,4.175000000000001
60,26.66005186385669,0.0,0.0,0.21907731134971725,0.0,0.0,22.49821428575,5.475
90,29.812156399013972,1.1445924578816684,0.0,0.2619463169800303,0.0,0.0,23.076785714274997,9.075
120,9.548335616111737,173.85425553483904,302.5700658473417,0.35679626271214054,0.0,0.0,23.414285714275003,2.675
150,38.99248267564136,110.24981705014831,114.43620173828818,0.3615129458995832,1.1634143243871937,0.0,24.751785714275,20.424999999999997
180,0.0,545.998565823514,501.3364526154694,0.3388231322493499,0.8985841501300996,0.0,26.50535714285,71.675
210,0.0,377.6687269906203,87.60970443972637,0.08774874859896985,1.8226484856215746,0.0,27.998214285725,16.775
240,0.0,716.6328315606331,0.0,0.11294314046211945,1.1504339921620172,0.0,28.14107142855,35.025
270,0.0,994.5128395266069,0.0,0.22874402825308227,0.3814164752866625,0.0,26.90357142855,19.275
300,0.0,690.3873944385161,0.0,0.42312056654322516,0.18355707236418592,0.0,24.1267857143,24.700000000000003
330,0.0,512.83317053597,0.0,0.17530362667646027,0.0,0.14350167856405344,23.135714285725,16.525
