ADT_Bilac,ADT_Primavera,ADT_Saracuruna,OVT_Bilac,OVT_Primavera,OVT_Saracuruna,month,mean_prec,mean_t_min,mean_t_med,mean_t_max
0.10041841,0.0585774059,0.0446428571,36.731092437,28.7522123894,33.0571428571,2009_11,45.125,21.7351190476,23.6785714286,26.072023809500003
0.0491071429,0.0794979079,0.0423728814,56.452173913,56.7719298246,42.4179104478,2009_12,48.77499999999999,22.727678571425,24.984821428575003,27.65625
0.1416666667,0.164556962,0.0753138075,85.8070175439,131.2767857143,57.1481481481,2010_01,21.75,23.648809523825,26.288095238075,29.3398809524
0.1603375527,0.1832460733,0.050209205,80.188034188,73.7931034483,59.4513274336,2010_02,55.875,23.476190476199996,26.80238095235,30.737499999999997
0.05,0.1083333333,0.0462184874,45.6283185841,64.0256410256,53.9285714286,2010_03,53.599999999999994,23.432142857125,26.23875,29.238035714275
0.1333333333,0.24,0.0889830508,76.2045454545,84.9316239316,42.1415929204,2010_04,42.675,22.51726190475,24.49285714285,27.11964285715
0.1631799163,0.2142857143,0.1212121212,30.2203389831,57.6486486486,49.5438596491,2010_05,2.4499999999999997,21.700833333325,23.830833333324996,26.835416666675
0.1125,0.1428571429,0.1041666667,9.9230769231,18.6260869565,7.6315789474,2010_06,8.65,19.74345238095,21.5220238095,24.101785714275
0.0666666667,0.0833333333,0.0622222222,30.6610169492,28.3185840708,20.4485981308,2010_07,0.0,18.91714285715,21.30785714285,24.774285714275
0.0416666667,0.0704845815,0.0379746835,14.5294117647,9.0347826087,4.0714285714,2010_08,0.0,18.7161904762,21.05535714285,24.43273809525
0.0375,0.0245098039,0.0265957447,17.5666666667,9.1949152542,8.6260869565,2010_09,1.05,19.0333333333,22.14702380955,26.232142857125
0.0375,0.0307017544,0.0175438596,14.2136752137,9.5132743363,5.6788990826,2010_10,37.525,19.09166666665,21.94226190475,25.781547619025
