Day,OVT_house,OVT_park,OVT_street,ADT_house,ADT_park,ADT_street,Temperature,Pluviosity
0,110.98473301286128,0.0,0.0,0.14564633097319873,0.0,0.0,26.208571428575,62.95
30,29.383157193320333,281.66768854018767,0.0,0.02287460863592102,0.5312667237658235,0.0,26.065476190475003,109.0
60,50.537376487372256,0.0,39.87968486368761,0.06880072509733282,0.0,0.0,25.74660714285,112.3
90,40.73460989996882,0.0,0.0,1.4448529697980114e-05,0.35323349289940253,0.0,25.721428571425,54.349999999999994
120,0.0,0.0,291.6688347477756,0.0,0.7518510989241185,0.0,25.860714285725003,26.025
150,24.66196379581035,0.0,277.8085225079993,0.0,0.0,0.18202628037666585,26.28714285715,37.1
180,0.0,0.0,196.09241544293863,0.014109951011537943,0.04482899289906276,0.0,28.4619047619,1.9500000000000028
210,18.202374801096003,0.0,0.0,0.0,0.2672052655580115,0.0,29.500595238125,1.425
240,0.0,117.16506534968119,159.66885274272877,0.0,0.4888686597789252,0.0,29.2773809524,26.65
270,11.974182437031718,0.0,331.1972859536427,0.0,0.06063464182332916,0.17154925583668365,28.155952380975,43.0
300,0.0,211.40590317471202,369.4185822212809,0.0047436607033406976,1.1231444592422433,0.0,26.53273809525,51.5
330,0.0,0.0,282.9571428005949,0.0,0.615578977712173,0.0,25.367857142875003,111.95
360,44.42013622517068,0.0,0.0,0.0,1.2300392351819522,0.0,25.958809523824996,65.0
390,0.0,206.33448733688027,109.1267797510883,0.0,0.22469140739275203,0.07739231860726323,25.79464285715,125.425
420,0.0,266.5900398302032,20.097476964641338,0.0,0.17472075042469867,0.0,25.937499999975,82.575
450,0.0,61.97660193857362,48.64946643247946,0.0,0.10318372418732431,0.0,26.474999999975,18.85000000000001
480,0.0,146.51610545986046,0.0,0.008879402962772577,0.0,0.0,26.375000000000004,27.7
510,2.2179190205542803,127.83653897953167,0.0,0.0026082274560293,0.019019079605588657,0.0,26.8482142857,19.575000000000003
540,0.0,310.8467015629376,0.0,0.0,0.10318372418732431,0.0,27.337500000025003,7.65
570,0.0,289.0546199670413,0.0,0.0,0.0,0.0,27.7125,7.6
600,22.48884207817855,32.05378710850608,0.0,0.0,0.0,0.0,27.098214285725003,32.95
630,0.0,219.8942068443402,29.65253974095694,0.0,0.0,0.0,27.49285714285,0.2749999999999986
660,0.0,0.0,152.41153808171293,0.0,0.11413535235863616,0.0,26.9892857143,31.074999999999996
690,0.0,447.9416673285498,45.6228327762923,0.0,0.0,0.0,25.812499999999996,49.8
