Day,OVT_house,OVT_park,OVT_street,ADT_house,ADT_park,ADT_street,Temperature,Pluviosity
0,25.431067283002772,1.1725945335076837,93.82720460337754,0.0,0.0,0.4986591202778417,23.6785714286,45.125
30,63.650332068397546,24.80946651780954,0.0,0.04601000252597882,0.26521254786752785,0.0,24.984821428575003,48.77499999999999
60,76.74549742148342,396.37777971072484,0.0,0.13921450591441223,0.22897273150010447,0.0,26.288095238075,21.75
90,90.7325524276141,0.0,0.0,0.16358657843940758,0.0863567480424397,0.006783823143996151,26.80238095235,55.875
120,52.15716861625212,172.38982208616136,0.0,0.037593751400302404,0.490998294929077,0.0,26.23875,53.599999999999994
150,76.88644637914628,94.92744728831062,0.0,0.10558817727563553,0.9051136927017333,0.0,24.49285714285,42.675
180,0.0,319.03701052254905,151.48867694687803,0.1643034332976516,0.47413314135566426,0.0,23.830833333324996,2.450000000000003
210,7.958552760688436,73.8442916866443,0.0,0.12313503631356873,0.29475719569892805,0.0,21.5220238095,8.65
240,33.77136185073658,0.0,0.0,0.07366501474520697,0.16422471349605983,0.0,21.30785714285,0.0
270,1.3960151089557755,0.0,59.68669247975747,0.0386674387636918,0.250064134363891,0.0,21.05535714285,0.0
300,0.0,0.0,87.42562209530443,0.009692606794798686,0.0,0.16088369026371527,22.14702380955,1.05
330,3.7996270687201656,0.0,50.14889072108932,0.028654252214822356,0.0,0.04508180571792583,21.94226190475,37.525
