Day,OVT_house,OVT_park,OVT_street,ADT_house,ADT_park,ADT_street,Temperature,Pluviosity
0,32.730505396163935,120.14436548608835,0.0,0.04286283917696565,1.2879783465260086,0.0,22.264034722225,74.07499999999999
30,34.9077189898176,46.84604106650728,0.0,0.0,0.0,0.5263590632960278,21.515932291650003,44.25
60,0.0,104.41885574309555,137.43050426474923,0.0,0.6293664641862603,0.14566634383435625,21.61761356705,56.825
90,0.0,249.51962355544708,81.86025467054142,0.0,0.10650538398547199,0.2516481897914943,21.9946545139,29.35
120,0.0,0.0,119.61682712119999,0.0,0.0,0.3417046123819534,20.112675347225,15.5
150,8.384154143093967,0.0,0.0,0.02996348589557701,0.0,0.0,16.99557291665,7.4
180,4.3622074086281,0.01013898925214158,8.619953423144105,0.0,0.0,0.12029343964016659,14.6279704861,9.5
210,0.10836235386507084,93.49477036397091,24.681949348343828,0.00046835074772804975,3.697850964076535e-05,0.034852337114807876,17.369467361125,0.0
240,1.0860734494128927,49.146683820847905,0.0,0.001446108533007948,0.005471812901247122,0.0,12.62690399305,2.425
270,8.76200585658194,76.91039332176157,0.0,0.021346975727040304,0.0,0.0,21.784699652775,5.025
300,0.0,133.2489073288138,38.52663040442934,0.0,0.9846680127700869,0.0,19.2101388889,50.8
330,0.0,56.189329513025044,232.71398497259943,0.0,0.3639899920646239,0.20651590458945843,19.5051875,16.349999999999994
360,0.0,0.0,240.3801093893139,0.0,0.8049563983449789,0.342359405551159,21.220934027775,13.8
390,39.0466443973413,0.0,0.0,0.0,0.0,0.6133634112879013,21.220934027775,25.35
420,12.408976115013102,0.0,112.00091183515741,0.0,2.1134303817846813,0.0,21.800505208325,101.66666666666669
450,0.0,0.0,181.4356573122008,0.0,0.6596807169540122,0.2983060041945691,20.9493454861,126.73333333333332
480,0.0,0.0,141.84652360538044,0.04523103385889334,0.21818907558883274,0.1518538434558876,21.745991319450003,60.25
510,11.509742461657414,0.40442788958606607,19.611833081273527,0.0,0.0,0.33954383669728133,17.081934027775002,101.66666666666669
540,0.0,36.007033408083345,34.15077685380411,0.0,0.3574196820409626,0.0,16.664553819425,53.666666666666664
570,11.217300858514788,0.0,0.0,0.0,0.2990886620818551,0.0,14.4416152778,0.0
600,0.0,21.525512107960978,46.38104507118831,0.0,0.0,0.2021792896372086,14.53413090275,4.65
630,10.358095173287406,0.0,0.0,0.0,0.1146476955776565,0.07958405253475845,19.573223958325,12.85
660,31.561358286228426,0.0,0.0,0.0,0.8248930659717348,0.06570499372969912,21.381890624999997,47.2
690,0.0,97.95743095577615,130.93261770921333,0.0,0.0,0.2271357525701353,20.706642361125,40.8
720,0.0,322.2874933029659,91.89035996450683,0.0,0.9329579675676822,0.1991717265536112,22.0278420139,42.95
750,30.992319296071962,0.0,0.0,0.061367286060756414,0.0,0.0,22.1687534722,37.849999999999994
